^Nr;0;0;smoothed;smoothed;smoothed
346;6.856024055;5.986820866;6.28539481;7.109670415;5.986820866
347;2.995303288;6.09710507;5.655045094;6.769079848;6.09710507
348;9.348977589;6.064417588;6.846598355;6.290276157;6.064417588
349;6.192617624;5.736350224;6.479771029;5.785056431;5.736350224
350;2.996218453;5.617045741;4.548322943;5.247336564;5.617045741
351;5.879652082;5.303534234;3.861309193;4.683411365;5.303534234
352;2.854904797;5.028832227;4.801420745;4.105233045;5.028832227
353;5.481296594;4.958531641;3.711808268;3.855182476;4.958531641
354;2.608794747;4.683320841;3.880757843;4.057881017;4.683320841
355;3.731396999;4.461182238;2.943730443;4.018258946;4.461182238
356;3.503531645;4.20267252;4.39530014;4.111807052;4.20267252
357;5.769070133;3.874480604;4.738966944;4.106602767;3.874480604
358;3.967918137;3.599095714;4.544217576;3.875668288;3.599095714
359;3.557851867;3.397352253;3.196877541;3.75359466;3.397352253
360;3.273154082;3.313940453;4.288473419;3.900687697;3.313940453
361;6.059474681;3.381821778;4.449397118;3.972150912;3.381821778
362;3.017071301;3.511935839;4.32787331;3.894591315;3.511935839
363;4.030439814;3.613133284;3.73830115;3.952366746;3.613133284
364;3.691385987;3.789505246;2.477590888;3.695920099;3.789505246
365;0;3.917023997;2.416420802;3.569554876;3.917023997
366;5.11731485;3.808139664;2.679601712;3.090507863;3.808139664
367;3.012787504;3.659985015;5.011434855;3.16155326;3.659985015
368;6.095861545;3.639168994;4.438793913;3.387581385;3.639168994
369;3.458428127;3.643327751;4.409797203;3.558738134;3.643327751
370;3.524834108;3.570839388;3.616490805;3.745446264;3.570839388
371;3.620120454;3.785975563;2.233093625;3.98116976;3.785975563
372;0;3.951040968;2.23843896;4.352819982;3.951040968
373;5.102165253;3.834506893;3.465793155;4.51870454;3.834506893
374;5.249187521;3.855391257;5.766058289;4.302937519;3.855391257
375;5.854645915;3.78126597;5.87022493;4.122580175;3.78126597
376;6.301960582;4.100416458;6.443469826;3.841871116;4.100416458
